"Delivery_Duration","Order_Type","Delivery_Person_Age","Delivery_Person_Tenure","Delivery_Person_Ratings","Vehicle_Type","Vehicle_Condition","Festival","Location_Type","Weather_Conditions","Road_Traffic_Conditions","Multiple_Deliveries","Grievances","Order_Placed_Picked_Duration"
16,"Drinks ",23,6,4.8,"motorcycle",0,"No","Urban","Sunny","Jam",0,"N",5
19,"Meal ",21,14,4.7,"scooter",2,"No","Metropolitan","Sunny","Low ",0,"Y",10
27,"Meal ",38,19,4.7,"scooter",2,"No","Metropolitan","Sandstorms","Medium",1,"N",5
20,"Buffet ",20,14,4.9,"motorcycle",1,"No","Metropolitan","Windy","Low ",1,"N",5
19,"Meal ",39,6,4.5,"electric_scooter",2,"No","Urban","Sunny","Medium",1,"N",15
29,"Meal ",37,16,4.7,"electric_scooter",0,"No","Metropolitan","Fog","Jam ",1,"Y",10
37,"Meal ",20,2,4.9,"motorcycle",0,"No","Urban","Stormy","Low ",1,"N",10
29,"Drinks ",25,17,4.7,"motorcycle",1,"No","Semi-Urban","Stormy","Jam",1,"N",5
31,"Buffet ",21,13,4.2,"scooter",0,"No","Metropolitan","Stormy","Low ",0,"Y",10
34,"Buffet ",25,6,4.8,"electric_scooter",0,"No","Metropolitan","Fog","Medium",1,"N",15
24,"Drinks ",30,7,4.9,"motorcycle",1,"No","Urban","Sandstorms","Jam ",0,"N",5
36,"Drinks ",27,5,5,"electric_scooter",2,"No","Metropolitan","Fog","Jam ",1,"N",15
23,"Buffet ",27,18,4.8,"motorcycle",1,"No","Urban","Stormy","Jam",0,"N",15
25,"Meal ",25,12,4.7,"scooter",1,"No","Metropolitan","Stormy","Jam ",1,"Y",15
23,"Meal ",25,14,4.8,"scooter",0,"No","Metropolitan","Sunny","Low ",1,"N",5
19,"Buffet ",37,23,4.7,"scooter",0,"No","Metropolitan","Stormy","Low ",1,"N",15
22,"Meal ",23,12,4.9,"electric_scooter",1,"No","Metropolitan","Windy","Low ",0,"N",5
46,"Drinks ",22,9,4.9,"motorcycle",0,"Yes","Metropolitan","Cloudy","Jam ",1,"N",5
16,"Meal ",32,21,4.6,"electric_scooter",1,"No","Metropolitan","Fog","Medium",1,"N",5
10,"Meal ",28,15,4.9,"motorcycle",1,"No","Metropolitan","Sunny","Jam",0,"N",15
24,"Meal ",35,23,4.3,"motorcycle",0,"No","Semi-Urban","Stormy","Low ",1,"Y",10
16,"Buffet ",36,16,4.7,"scooter",2,"No","Metropolitan","Fog","Medium",0,"N",15
28,"Drinks ",25,15,4.6,"scooter",1,"No","Semi-Urban","Fog","High ",1,"Y",5
43,"Buffet ",30,1,4.2,"scooter",2,"No","Urban","Windy","Jam ",0,"N",15
25,"Snack ",32,22,4.8,"motorcycle",0,"No","Metropolitan","Sunny","Jam ",0,"N",15
28,"Buffet ",28,14,4.2,"scooter",0,"No","Metropolitan","Sandstorms","Low ",1,"N",15
15,"Snack ",21,15,4.1,"motorcycle",0,"No","Metropolitan","Stormy","Low ",0,"N",10
24,"Snack ",29,13,4.6,"motorcycle",0,"No","Metropolitan","Sunny","Jam ",0,"N",5
13,"Drinks ",39,23,4.9,"electric_scooter",1,"No","Urban","Sunny","Low",1,"Y",10
39,"Drinks ",25,13,4.7,"motorcycle",1,"No","Metropolitan","Cloudy","Medium",1,"N",10
18,"Buffet ",32,6,4.9,"scooter",2,"No","Metropolitan","Stormy","Medium",0,"Y",15
21,"Meal ",38,18,4.5,"motorcycle",0,"No","Metropolitan","Windy","Low ",1,"N",15
35,"Buffet ",28,6,4,"motorcycle",0,"No","Semi-Urban","Windy","Jam ",1,"N",15
28,"Snack ",36,4,5,"scooter",2,"No","Semi-Urban","Stormy","Jam ",0,"N",15
18,"Drinks ",29,23,4.8,"electric_scooter",1,"No","Metropolitan","Fog","Low",0,"N",5
17,"Snack ",25,17,4.8,"motorcycle",2,"No","Urban","Stormy","Low",1,"N",15
29,"Drinks ",39,13,4.7,"motorcycle",1,"No","Metropolitan","Stormy","Jam ",1,"Y",15
38,"Drinks ",27,3,3.9,"electric_scooter",2,"No","Metropolitan","Windy","Jam ",2,"Y",15
24,"Buffet ",39,22,5,"electric_scooter",0,"No","Semi-Urban","Stormy","Low ",0,"N",25
39,"Meal ",34,11,4.1,"scooter",1,"No","Metropolitan","Fog","High ",2,"Y",15
19,"Drinks ",26,23,4.9,"motorcycle",0,"No","Semi-Urban","Sunny","Medium",1,"N",5
43,"Meal ",38,13,4.6,"scooter",2,"No","Metropolitan","Fog","Medium",0,"N",5
16,"Buffet ",30,12,4.9,"motorcycle",1,"No","Urban","Sunny","Low ",0,"N",10
30,"Buffet ",38,21,4.3,"motorcycle",0,"No","Semi-Urban","Sandstorms","Low ",1,"N",5
29,"Drinks ",35,22,4.8,"electric_scooter",0,"No","Urban","Windy","Medium",1,"N",15
25,"Snack ",27,12,4.6,"motorcycle",0,"No","Semi-Urban","Sandstorms","High ",0,"Y",15
19,"Snack ",39,8,4.7,"motorcycle",2,"No","Metropolitan","Stormy","Low ",0,"Y",10
22,"Snack ",22,9,4.8,"scooter",2,"No","Metropolitan","Windy","Low ",0,"Y",15
20,"Meal ",38,3,4.8,"scooter",1,"No","Metropolitan","Sunny","Jam",1,"N",5
27,"Drinks ",32,13,5,"electric_scooter",2,"No","Metropolitan","Stormy","Jam ",1,"N",15
16,"Meal ",35,4,4.9,"scooter",2,"No","Metropolitan","Sunny","Low ",1,"N",10
35,"Buffet ",33,3,4,"electric_scooter",2,"No","Semi-Urban","Cloudy","Jam",1,"N",5
17,"Meal ",20,9,4.6,"scooter",1,"No","Metropolitan","Windy","Low ",1,"N",15
16,"Snack ",26,21,4.6,"motorcycle",2,"No","Semi-Urban","Sunny","Medium",0,"N",10
38,"Drinks ",26,19,4.3,"motorcycle",0,"No","Metropolitan","Stormy","High ",1,"N",5
29,"Drinks ",20,22,4.7,"scooter",1,"No","Urban","Sunny","Medium",1,"Y",15
28,"Buffet ",28,9,4.3,"motorcycle",0,"No","Metropolitan","Stormy","Low ",1,"N",25
16,"Buffet ",29,19,4.9,"scooter",1,"No","Urban","Fog","Low",1,"N",10
20,"Buffet ",24,15,4.9,"motorcycle",0,"No","Semi-Urban","Fog","Low ",0,"N",15
15,"Drinks ",29,17,4.9,"scooter",1,"No","Urban","Sunny","Jam",0,"N",5
16,"Buffet ",39,23,4.9,"scooter",2,"No","Metropolitan","Stormy","Low ",1,"Y",10
15,"Snack ",22,9,4.9,"electric_scooter",1,"No","Metropolitan","Sunny","Jam ",1,"N",5
33,"Meal ",24,5,4.2,"motorcycle",0,"No","Metropolitan","Sandstorms","Low ",0,"N",15
34,"Buffet ",21,23,4.4,"electric_scooter",1,"No","Metropolitan","Stormy","Jam ",1,"Y",15
11,"Snack ",24,23,4.8,"electric_scooter",2,"No","Urban","Windy","Low ",0,"N",5
20,"Meal ",23,15,4.8,"motorcycle",1,"No","Metropolitan","Windy","Medium",1,"Y",5
34,"Snack ",35,3,4.6,"motorcycle",0,"No","Metropolitan","Sunny","Jam ",0,"N",5
27,"Meal ",26,19,4.9,"scooter",1,"No","Urban","Sandstorms","Jam ",1,"N",10
15,"Drinks ",22,23,4.9,"electric_scooter",2,"No","Metropolitan","Sunny","Medium",0,"N",15
28,"Buffet ",29,3,4.2,"motorcycle",0,"No","Urban","Windy","Low",1,"N",15
14,"Drinks ",28,17,4.9,"electric_scooter",2,"No","Urban","Sandstorms","Low ",1,"N",10
17,"Meal ",31,12,4.9,"electric_scooter",2,"No","Metropolitan","Sunny","Low ",0,"N",5
38,"Buffet ",22,21,4.7,"motorcycle",2,"No","Metropolitan","Cloudy","Medium",0,"N",5
23,"Drinks ",20,13,4.6,"motorcycle",0,"No","Semi-Urban","Sunny","Low ",1,"N",15
34,"Buffet ",21,23,4.4,"electric_scooter",1,"No","Metropolitan","Stormy","Jam ",1,"Y",15
43,"Meal ",33,19,5,"electric_scooter",2,"Yes","Urban","Cloudy","Medium",2,"Y",5
19,"Drinks ",34,15,4.7,"motorcycle",0,"No","Urban","Fog","Low ",1,"Y",15
20,"Drinks ",35,14,4.7,"scooter",2,"No","Semi-Urban","Stormy","Jam ",1,"N",10
27,"Meal ",27,19,4.7,"scooter",2,"No","Urban","Cloudy","Jam",1,"N",10
18,"Meal ",39,16,4.9,"electric_scooter",2,"No","Urban","Fog","Medium",0,"Y",5
32,"Meal ",38,4,3.8,"scooter",1,"No","Metropolitan","Stormy","Jam ",1,"N",15
10,"Meal ",24,2,4.7,"motorcycle",1,"No","Semi-Urban","Stormy","Low ",0,"N",10
41,"Meal ",23,16,4.8,"electric_scooter",0,"No","Metropolitan","Sandstorms","High ",0,"N",10
27,"Snack ",32,23,4.6,"electric_scooter",0,"No","Metropolitan","Stormy","Medium",1,"N",10
21,"Snack ",27,23,4.5,"motorcycle",1,"No","Metropolitan","Sunny","Jam ",1,"N",10
32,"Drinks ",34,3,4.1,"scooter",2,"No","Metropolitan","Cloudy","Medium",1,"N",15
32,"Meal ",31,14,4.5,"motorcycle",0,"No","Metropolitan","Sunny","Medium",1,"N",15
33,"Snack ",34,19,4.9,"motorcycle",2,"No","Metropolitan","Windy","Jam ",1,"N",10
48,"Meal ",30,3,4.6,"motorcycle",0,"Yes","Metropolitan","Windy","Jam ",2,"N",5
26,"Meal ",33,17,4.8,"motorcycle",1,"No","Urban","Stormy","Medium",1,"Y",5
29,"Snack ",35,15,4.4,"motorcycle",0,"No","Metropolitan","Sandstorms","Low",1,"N",15
20,"Snack ",38,11,4.7,"motorcycle",0,"No","Metropolitan","Sandstorms","Low ",0,"N",15
18,"Snack ",32,22,4.9,"motorcycle",1,"No","Urban","Cloudy","Medium",1,"N",10
20,"Meal ",35,9,4.8,"motorcycle",2,"No","Metropolitan","Stormy","High ",0,"Y",15
16,"Meal ",26,23,4.9,"electric_scooter",2,"No","Metropolitan","Cloudy","Low ",1,"N",10
27,"Drinks ",36,2,4.8,"motorcycle",1,"No","Metropolitan","Windy","Medium",1,"N",5
33,"Buffet ",20,9,4.2,"scooter",1,"No","Urban","Stormy","High ",1,"N",15
49,"Drinks ",33,3,4.8,"scooter",1,"Yes","Semi-Urban","Fog","Jam ",2,"Y",5
16,"Meal ",22,5,4.8,"motorcycle",1,"No","Metropolitan","Sunny","High ",1,"N",5
21,"Buffet ",29,23,4.3,"motorcycle",0,"No","Metropolitan","Sandstorms","Low ",1,"N",5
15,"Meal ",25,23,4.8,"electric_scooter",0,"No","Metropolitan","Stormy","Low ",0,"Y",5
25,"Buffet ",39,18,5,"scooter",1,"No","Metropolitan","Sandstorms","Low ",1,"N",5
11,"Drinks ",20,22,4.7,"motorcycle",2,"No","Urban","Sandstorms","Low",0,"N",10
19,"Drinks ",38,21,4.7,"scooter",1,"No","Metropolitan","Stormy","Low",1,"Y",10
26,"Snack ",36,21,4.6,"scooter",2,"No","Urban","Cloudy","Low ",1,"N",10
46,"Buffet ",30,13,4.2,"scooter",0,"Yes","Metropolitan","Stormy","Jam ",1,"N",10
16,"Drinks ",22,19,4.8,"scooter",2,"No","Semi-Urban","Stormy","Low ",0,"N",10
14,"Snack ",38,15,4.8,"motorcycle",1,"No","Metropolitan","Stormy","Low ",1,"N",20
31,"Meal ",33,17,3.8,"motorcycle",2,"No","Metropolitan","Sunny","Jam ",1,"N",10
31,"Snack ",21,11,4.8,"motorcycle",0,"No","Urban","Windy","Medium",1,"N",10
12,"Drinks ",26,19,4.9,"motorcycle",0,"No","Urban","Sunny","Low",0,"N",15
26,"Snack ",35,18,4.8,"scooter",1,"No","Metropolitan","Sandstorms","Low",0,"N",30
36,"Meal ",33,14,4.4,"scooter",2,"No","Semi-Urban","Windy","Jam ",1,"N",15
15,"Drinks ",37,1,4,"motorcycle",0,"No","Urban","Stormy","Low",1,"Y",15
20,"Snack ",30,14,4.8,"scooter",1,"No","Metropolitan","Sunny","Jam ",1,"N",5
19,"Snack ",33,19,4.6,"electric_scooter",1,"No","Metropolitan","Windy","Jam ",1,"N",15
21,"Snack ",37,23,4.8,"motorcycle",1,"No","Metropolitan","Sunny","Medium",1,"Y",5
27,"Snack ",30,18,4.4,"scooter",0,"No","Metropolitan","Stormy","Low ",0,"Y",5
11,"Meal ",20,15,4.9,"electric_scooter",1,"No","Semi-Urban","Sunny","Jam ",0,"Y",5
23,"Snack ",35,9,4.8,"motorcycle",0,"No","Urban","Windy","Low ",1,"N",10
20,"Buffet ",27,23,4.8,"scooter",1,"No","Urban","Stormy","Low",1,"N",10
39,"Buffet ",28,2,4.8,"motorcycle",0,"No","Metropolitan","Fog","Jam ",1,"N",10
44,"Snack ",34,21,4.6,"motorcycle",0,"No","Semi-Urban","Fog","Low ",1,"Y",10
35,"Meal ",24,2,4,"scooter",2,"No","Metropolitan","Cloudy","Medium",1,"N",5
41,"Meal ",28,6,3.8,"motorcycle",2,"No","Metropolitan","Sandstorms","Jam ",0,"N",15
27,"Snack ",27,23,4.7,"motorcycle",1,"No","Metropolitan","Stormy","High ",1,"N",15
42,"Drinks ",28,3,4.5,"electric_scooter",0,"No","Semi-Urban","Cloudy","Medium",1,"Y",15
24,"Drinks ",34,17,5,"motorcycle",0,"No","Semi-Urban","Fog","Low ",1,"N",5
21,"Buffet ",39,14,4.6,"electric_scooter",2,"No","Metropolitan","Cloudy","High ",1,"N",15
35,"Meal ",27,2,4.9,"motorcycle",0,"No","Metropolitan","Sandstorms","High ",1,"N",5
14,"Meal ",36,23,5,"motorcycle",2,"No","Metropolitan","Stormy","Low ",0,"Y",15
32,"Buffet ",22,7,3.2,"motorcycle",0,"No","Metropolitan","Sunny","Low ",1,"N",10
15,"Buffet ",32,15,4.8,"motorcycle",0,"No","Urban","Sunny","Low",1,"N",15
18,"Meal ",26,22,4.9,"motorcycle",1,"No","Semi-Urban","Stormy","Low ",1,"N",25
45,"Buffet ",36,11,4,"electric_scooter",0,"No","Metropolitan","Windy","High ",0,"Y",5
20,"Buffet ",22,22,4.7,"electric_scooter",2,"No","Urban","Windy","Jam",1,"Y",5
25,"Buffet ",38,3,4.6,"scooter",2,"No","Metropolitan","Sunny","Low ",1,"N",15
22,"Buffet ",20,16,4.7,"electric_scooter",2,"No","Urban","Stormy","High",0,"N",15
22,"Snack ",32,19,4.3,"electric_scooter",0,"No","Metropolitan","Sunny","Low ",1,"N",10
30,"Drinks ",35,16,4.9,"motorcycle",0,"No","Urban","Stormy","Medium",1,"N",10
17,"Buffet ",38,18,4.5,"motorcycle",1,"No","Metropolitan","Sandstorms","Low ",0,"N",15
25,"Meal ",20,21,4.6,"motorcycle",0,"No","Urban","Sunny","Low",0,"N",5
43,"Meal ",39,18,4.7,"motorcycle",0,"Yes","Metropolitan","Fog","Jam ",1,"Y",10
14,"Buffet ",39,9,4.6,"motorcycle",1,"No","Metropolitan","Stormy","Jam ",1,"N",5
28,"Drinks ",37,9,4.5,"electric_scooter",2,"No","Urban","Windy","Jam ",0,"N",5
19,"Meal ",33,16,4.9,"motorcycle",2,"No","Metropolitan","Sunny","Jam ",1,"N",10
22,"Drinks ",33,12,4.7,"motorcycle",2,"No","Metropolitan","Sunny","Low ",1,"Y",15
34,"Meal ",27,12,4.4,"motorcycle",1,"No","Metropolitan","Stormy","Jam ",1,"N",15
25,"Drinks ",34,5,4.8,"electric_scooter",1,"No","Metropolitan","Windy","Jam ",0,"N",15
27,"Snack ",30,21,4.8,"motorcycle",1,"No","Urban","Windy","Medium",1,"N",5
40,"Buffet ",27,14,4.8,"scooter",0,"No","Metropolitan","Fog","Medium",2,"N",15
36,"Meal ",32,14,5,"scooter",2,"No","Urban","Fog","Jam ",1,"N",5
34,"Drinks ",20,23,4.4,"motorcycle",0,"No","Urban","Sandstorms","Jam",1,"N",15
32,"Meal ",20,1,4.2,"motorcycle",1,"No","Semi-Urban","Cloudy","Jam ",1,"N",10
29,"Meal ",35,5,4.8,"motorcycle",0,"No","Semi-Urban","Stormy","Low ",0,"Y",25
23,"Meal ",25,15,5,"scooter",2,"No","Urban","Sunny","Jam",0,"N",5
15,"Drinks ",26,22,4.7,"motorcycle",1,"No","Urban","Stormy","Low",0,"N",15
19,"Buffet ",25,4,4.1,"motorcycle",0,"No","Metropolitan","Windy","Low ",1,"Y",5
22,"Meal ",21,8,5,"electric_scooter",2,"No","Semi-Urban","Fog","Jam ",1,"Y",15
19,"Buffet ",36,9,4.8,"scooter",1,"No","Semi-Urban","Windy","Low ",1,"N",15
18,"Buffet ",20,22,4.7,"scooter",2,"No","Urban","Windy","Jam ",1,"N",10
25,"Snack ",31,17,4.7,"scooter",1,"No","Urban","Stormy","Medium",0,"Y",10
32,"Meal ",28,13,4.7,"motorcycle",2,"No","Urban","Stormy","Jam ",0,"Y",10
26,"Meal ",25,2,4.6,"scooter",2,"No","Metropolitan","Sandstorms","Medium",0,"N",15
48,"Snack ",29,2,4.7,"motorcycle",0,"Yes","Urban","Cloudy","Jam",1,"N",10
29,"Buffet ",38,13,4.6,"motorcycle",2,"No","Metropolitan","Windy","Medium",1,"Y",15
20,"Drinks ",30,9,4.9,"electric_scooter",0,"No","Metropolitan","Fog","Medium",1,"N",15
13,"Meal ",30,16,4.5,"motorcycle",1,"No","Metropolitan","Windy","Low ",0,"N",15
26,"Drinks ",28,1,4.2,"motorcycle",0,"No","Urban","Stormy","Low",0,"Y",5
45,"Meal ",28,1,3.9,"motorcycle",0,"No","Urban","Sunny","High",1,"N",10
29,"Buffet ",36,22,4.9,"scooter",2,"No","Urban","Sandstorms","Medium",0,"Y",15
43,"Drinks ",26,6,3.6,"scooter",1,"No","Urban","Sandstorms","Jam ",1,"Y",5
28,"Drinks ",24,4,4.9,"scooter",2,"No","Metropolitan","Stormy","High ",0,"N",5
22,"Drinks ",35,19,4.7,"scooter",2,"No","Metropolitan","Stormy","High ",0,"Y",5
33,"Meal ",23,15,4.1,"scooter",2,"No","Metropolitan","Cloudy","Jam ",1,"Y",15
41,"Meal ",35,23,4.6,"motorcycle",0,"No","Urban","Fog","Jam",0,"N",5
39,"Buffet ",34,5,4.4,"motorcycle",0,"No","Metropolitan","Stormy","Medium",1,"N",5
39,"Meal ",23,12,4.6,"electric_scooter",2,"No","Urban","Fog","Medium",1,"Y",5
34,"Drinks ",36,11,4.3,"scooter",1,"No","Metropolitan","Sandstorms","Jam ",0,"N",10
46,"Snack ",38,1,4.6,"scooter",0,"No","Metropolitan","Cloudy","Jam ",1,"N",10
20,"Drinks ",27,1,4.5,"motorcycle",0,"No","Urban","Stormy","Low",0,"Y",5
18,"Buffet ",36,18,4.8,"motorcycle",1,"No","Metropolitan","Sunny","Low ",0,"Y",5
32,"Meal ",30,18,4.3,"motorcycle",0,"No","Metropolitan","Sandstorms","Low ",0,"N",15
35,"Buffet ",29,6,4,"electric_scooter",0,"No","Metropolitan","Stormy","High ",1,"Y",10
41,"Drinks ",28,4,4.9,"motorcycle",0,"No","Metropolitan","Stormy","High ",0,"N",15
39,"Snack ",34,8,4.6,"motorcycle",0,"No","Urban","Stormy","Jam ",1,"N",10
29,"Drinks ",38,3,4.8,"scooter",0,"No","Metropolitan","Stormy","Medium",0,"N",10
25,"Meal ",33,19,4.7,"scooter",2,"No","Metropolitan","Stormy","High ",1,"Y",15
19,"Drinks ",33,23,4.3,"scooter",0,"No","Metropolitan","Sandstorms","Low ",1,"Y",5
15,"Drinks ",22,5,4.5,"scooter",1,"No","Urban","Stormy","Low",1,"Y",15
22,"Meal ",25,22,4.6,"electric_scooter",0,"No","Metropolitan","Sunny","Low ",1,"N",15
18,"Snack ",22,22,4.8,"scooter",1,"No","Metropolitan","Stormy","Jam ",1,"N",5
15,"Buffet ",21,16,4.9,"scooter",2,"No","Urban","Sunny","Medium",0,"N",5
28,"Meal ",34,19,4.5,"electric_scooter",2,"No","Metropolitan","Windy","Medium",1,"N",5
14,"Drinks ",37,23,4.9,"electric_scooter",1,"No","Urban","Cloudy","Low",1,"N",5
12,"Meal ",26,1,4.8,"scooter",1,"No","Metropolitan","Cloudy","Medium",0,"N",10
47,"Meal ",24,11,4.9,"scooter",0,"No","Semi-Urban","Stormy","High ",1,"N",15
18,"Drinks ",37,23,4.8,"motorcycle",1,"No","Urban","Sunny","Low ",1,"Y",15
23,"Meal ",23,8,4.7,"motorcycle",1,"No","Semi-Urban","Stormy","High ",1,"N",10
24,"Meal ",35,2,4.2,"electric_scooter",0,"No","Metropolitan","Stormy","Low ",1,"N",5
23,"Snack ",33,8,4.6,"motorcycle",1,"No","Metropolitan","Windy","Medium",1,"N",15
23,"Drinks ",32,4,4.5,"electric_scooter",0,"No","Urban","Sandstorms","Low",0,"N",5
27,"Drinks ",37,16,4.6,"scooter",2,"No","Urban","Cloudy","Jam",1,"Y",5
28,"Meal ",32,14,5,"motorcycle",0,"No","Metropolitan","Stormy","Low ",1,"N",10
35,"Meal ",32,5,4.7,"motorcycle",0,"No","Semi-Urban","Stormy","Jam",1,"N",5
23,"Meal ",32,23,5,"motorcycle",0,"No","Urban","Stormy","Jam",1,"N",5
26,"Buffet ",36,21,4.7,"motorcycle",0,"No","Urban","Fog","High",1,"N",15
36,"Meal ",30,8,3.8,"motorcycle",1,"No","Metropolitan","Sandstorms","Jam ",1,"Y",15
29,"Snack ",26,23,4.9,"motorcycle",1,"No","Urban","Sunny","Low ",1,"N",5
16,"Drinks ",26,23,4.6,"electric_scooter",1,"No","Urban","Cloudy","Medium",1,"N",15
33,"Snack ",36,6,4.2,"motorcycle",0,"No","Urban","Stormy","Jam ",2,"Y",15
22,"Buffet ",23,19,4.6,"motorcycle",0,"No","Urban","Fog","Low",1,"N",15
44,"Meal ",31,12,4.7,"motorcycle",0,"No","Urban","Fog","Jam ",2,"Y",5
31,"Meal ",23,13,5,"motorcycle",0,"No","Metropolitan","Windy","Jam ",1,"N",10
38,"Buffet ",22,1,4.3,"scooter",2,"No","Metropolitan","Cloudy","Medium",0,"Y",10
34,"Buffet ",25,6,4.8,"electric_scooter",0,"No","Metropolitan","Fog","Medium",1,"N",15
21,"Snack ",38,21,4.7,"electric_scooter",0,"No","Metropolitan","Windy","Low ",1,"N",5
